input_id	dealiased_id	standard_id	short_id
doi:10.1158/1078-0432.CCR-09-1735	doi:10.1158/1078-0432.CCR-09-1735	doi:10.1158/1078-0432.ccr-09-1735	dr9JS306
pmid:20129249	pmid:20129249	pubmed:20129249	QzzeTuTF
doi:10.1016/j.cell.2016.03.025	doi:10.1016/j.cell.2016.03.025	doi:10.1016/j.cell.2016.03.025	10v4cJsaH
doi:10.1056/NEJMoa1407222	doi:10.1056/NEJMoa1407222	doi:10.1056/nejmoa1407222	qUZcGLd9
doi:10.1126/scitranslmed.aaa0984	doi:10.1126/scitranslmed.aaa0984	doi:10.1126/scitranslmed.aaa0984	63ewQnLP
PMID:24919153	PMID:24919153	pubmed:24919153	3qk2Wsrw
pmid:25992859	pmid:25992859	pubmed:25992859	pF89Nm4u
doi:10.1126/science.aay2790	doi:10.1126/science.aay2790	doi:10.1126/science.aay2790	GCbN2SKa
pmid:30889382	pmid:30889382	pubmed:30889382	4XrP8kd6
doi:10.1016/j.cell.2018.03.038	doi:10.1016/j.cell.2018.03.038	doi:10.1016/j.cell.2018.03.038	TZjxCK1M
doi:10.1101/812131	doi:10.1101/812131	doi:10.1101/812131	12Gx1OssI
doi:10.1038/sj.bjc.6604700	doi:10.1038/sj.bjc.6604700	doi:10.1038/sj.bjc.6604700	10kZoPeON
doi:10.1021/cb6003788	doi:10.1021/cb6003788	doi:10.1021/cb6003788	B0xrCfE3
doi:10.1038/s41586-018-0830-7	doi:10.1038/s41586-018-0830-7	doi:10.1038/s41586-018-0830-7	LOh8Ljpe
DOI:10.1073/pnas.0812851107	DOI:10.1073/pnas.0812851107	doi:10.1073/pnas.0812851107	11Hb1fNV6
doi:10.1038/srep40098	doi:10.1038/srep40098	doi:10.1038/srep40098	IanZRiFA
pmid:29960887	pmid:29960887	pubmed:29960887	11gk5tUo7
doi:10.1021/jacs.8b09198	doi:10.1021/jacs.8b09198	doi:10.1021/jacs.8b09198	u2Cb0DBq
doi:10.1038/nbt.1549	doi:10.1038/nbt.1549	doi:10.1038/nbt.1549	luDqQ0zL
DOI:10.1002/rcm.3330	DOI:10.1002/rcm.3330	doi:10.1002/rcm.3330	eR2h4yr3
pmid:28886385	pmid:28886385	pubmed:28886385	8lU1hNlA
doi:10.1038/s41586-020-2168-1	doi:10.1038/s41586-020-2168-1	doi:10.1038/s41586-020-2168-1	iG3t9Py2
doi:10.1080/19420862.2015.1062192	doi:10.1080/19420862.2015.1062192	doi:10.1080/19420862.2015.1062192	18yoQOgm4
pmid:30145356	pmid:30145356	pubmed:30145356	y7JtEfom
doi:10.1158/2159-8290.CD-18-1495	doi:10.1158/2159-8290.CD-18-1495	doi:10.1158/2159-8290.cd-18-1495	FqWAsZ7z
pmid:30446251	pmid:30446251	pubmed:30446251	L2k7ECfb
doi:10.1016/j.devcel.2019.07.010	doi:10.1016/j.devcel.2019.07.010	doi:10.1016/j.devcel.2019.07.010	3WVNxYBN
doi:10.1158/0008-5472.CAN-13-0602	doi:10.1158/0008-5472.CAN-13-0602	doi:10.1158/0008-5472.can-13-0602	PIRfSNMl
pmid:14534734	pmid:14534734	pubmed:14534734	uMIi8rGN
doi:10.1146/annurev-immunol-042718-041407	doi:10.1146/annurev-immunol-042718-041407	doi:10.1146/annurev-immunol-042718-041407	bi6A2xzH
doi:10.1016/j.ymthe.2017.06.012	doi:10.1016/j.ymthe.2017.06.012	doi:10.1016/j.ymthe.2017.06.012	Fp4dDXV1
doi:10.1038/s41592-019-0686-2	doi:10.1038/s41592-019-0686-2	doi:10.1038/s41592-019-0686-2	8Miti2Gz
wikidata:Q99353631	wikidata:Q99353631	wikidata:Q99353631	VKATSjfe
