Cell Type,Receptor,Count
T-reg,IL2Ra,2698.240012
Naive Treg,IL2Ra,2958.308448
Mem Treg,IL2Ra,2458.58786
T-helper,IL2Ra,238.2330743
Naive Th,IL2Ra,235.1668256
Mem Th,IL2Ra,260.0321342
NK,IL2Ra,33.83209053
CD8+,IL2Ra,12.61216527
Naive CD8+,IL2Ra,14.57173803
Mem CD8+,IL2Ra,19.12465843
T-reg,IL2Ra,2762.019667
Naive Treg,IL2Ra,3044.341708
Mem Treg,IL2Ra,2600.642454
T-helper,IL2Ra,234.3135175
Naive Th,IL2Ra,225.5220967
Mem Th,IL2Ra,258.6627811
NK,IL2Ra,18.41385813
CD8+,IL2Ra,35.15121491
Naive CD8+,IL2Ra,29.30692956
Mem CD8+,IL2Ra,40.65423686
T-reg,IL2Ra,4001.114003
Naive Treg,IL2Ra,3502.327777
Mem Treg,IL2Ra,4334.205032
T-helper,IL2Ra,413.0866776
Naive Th,IL2Ra,287.4800979
Mem Th,IL2Ra,667.7237993
NK,IL2Ra,18.88660029
CD8+,IL2Ra,18.92441667
Naive CD8+,IL2Ra,4.9261866
Mem CD8+,IL2Ra,27.52628829
T-reg,IL2Ra,4894.758364
Naive Treg,IL2Ra,4384.859094
Mem Treg,IL2Ra,5678.556659
T-helper,IL2Ra,507.4725161
Naive Th,IL2Ra,347.7863663
Mem Th,IL2Ra,817.6253949
NK,IL2Ra,21.04034885
CD8+,IL2Ra,29.26789812
Naive CD8+,IL2Ra,13.19412256
Mem CD8+,IL2Ra,71.23836191
T-reg,IL2Rb,645.2761468
Naive Treg,IL2Rb,522.4051672
Mem Treg,IL2Rb,727.0863165
T-helper,IL2Rb,99.96353744
Naive Th,IL2Rb,25.16017925
Mem Th,IL2Rb,141.8030893
NK,IL2Rb,10187.13706
CD8+,IL2Rb,539.0371401
Naive CD8+,IL2Rb,317.9874852
Mem CD8+,IL2Rb,616.3377546
T-reg,IL2Rb,677.1259155
Naive Treg,IL2Rb,616.4866583
Mem Treg,IL2Rb,684.4967074
T-helper,IL2Rb,122.5875729
Naive Th,IL2Rb,62.0835183
Mem Th,IL2Rb,181.7554003
NK,IL2Rb,9868.411701
CD8+,IL2Rb,645.8293177
Naive CD8+,IL2Rb,419.755008
Mem CD8+,IL2Rb,692.5291122
T-reg,IL2Rb,543.4897924
Naive Treg,IL2Rb,865.6176053
Mem Treg,IL2Rb,673.0029036
T-helper,IL2Rb,176.3689223
Naive Th,IL2Rb,28.00619904
Mem Th,IL2Rb,46.59893181
NK,IL2Rb,5385.434403
CD8+,IL2Rb,371.6963068
Naive CD8+,IL2Rb,270.7151052
Mem CD8+,IL2Rb,443.5250306
T-reg,IL2Rb,784.6567814
Naive Treg,IL2Rb,545.8814635
Mem Treg,IL2Rb,952.6196988
T-helper,IL2Rb,291.6270395
Naive Th,IL2Rb,143.7957404
Mem Th,IL2Rb,399.0558766
NK,IL2Rb,9655.091659
CD8+,IL2Rb,526.3980487
Naive CD8+,IL2Rb,345.0508218
Mem CD8+,IL2Rb,782.1425592
T-reg,IL2Rb,13160.01735
Naive Treg,gC,11427.5797
Mem Treg,gC,15400.91416
T-helper,gC,13974.63176
Naive Th,gC,15463.80888
Mem Th,gC,12388.60924
NK,gC,4078.132414
CD8+,gC,10409.37151
Naive CD8+,gC,14695.67195
Mem CD8+,gC,8290.142065
T-reg,gC,12735.74123
Naive Treg,gC,11776.59139
Mem Treg,gC,16131.05774
T-helper,gC,14837.10923
Naive Th,gC,16175.66939
Mem Th,gC,13598.75372
NK,gC,6910.450176
CD8+,gC,11627.81199
Naive CD8+,gC,14392.51966
Mem CD8+,gC,9951.904418
T-reg,gC,16316.87643
Naive Treg,gC,9830.364654
Mem Treg,gC,20855.26548
T-helper,gC,13399.65823
Naive Th,gC,10797.69209
Mem Th,gC,20495.32133
NK,gC,12254.87035
CD8+,gC,15050.64033
Naive CD8+,gC,12398.53095
Mem CD8+,gC,18600.78709
T-reg,gC,14113.91785
Naive Treg,gC,8893.738911
Mem Treg,gC,18674.13474
T-helper,gC,11351.21123
Naive Th,gC,9000.400614
Mem Th,gC,17697.12866
NK,gC,9881.142781
CD8+,gC,13008.48152
Naive CD8+,gC,10904.68874
Mem CD8+,gC,16884.35892
T-reg,IL15Ra,0
Naive Treg,IL15Ra,0
Mem Treg,IL15Ra,0
T-helper,IL15Ra,0
Naive Th,IL15Ra,0
Mem Th,IL15Ra,0
NK,IL15Ra,0
CD8+,IL15Ra,0
Naive CD8+,IL15Ra,0
Mem CD8+,IL15Ra,0
T-reg,IL7Ra,4003.606182
Naive Treg,IL7Ra,5975.804219
Mem Treg,IL7Ra,2504.653147
T-helper,IL7Ra,19612.30306
Naive Th,IL7Ra,17633.94598
Mem Th,IL7Ra,25239.06393
NK,IL7Ra,5.18134425
CD8+,IL7Ra,12943
Naive CD8+,IL7Ra,15574
Mem CD8+,IL7Ra,2819
T-reg,IL7Ra,3216.115902
Naive Treg,IL7Ra,5353.537686
Mem Treg,IL7Ra,2260.141013
T-helper,IL7Ra,18713.53922
Naive Th,IL7Ra,16498.12477
Mem Th,IL7Ra,24813.90978
NK,IL7Ra,152.8853349
CD8+,IL7Ra,12757
Naive CD8+,IL7Ra,15507
Mem CD8+,IL7Ra,2780
